Provinsi di Indonesia,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa)
,2022
Aceh,5334.9
Sumatera Utara,14970.5
Sumatera Barat,5597.3
Riau,6466.8
Kep. Riau,2089.9
Jambi,3586.4
Sumatera Selatan,8548.6
Kep. Bangka Belitung,1471.8
Bengkulu,2032.4
Lampung,4438.6
DKI Jakarta,10605.4
Jawa Barat,48738.8
Banten,12023
Jawa Tengah,36811.1
DI Yogyakarta,3687.8
Jawa Timur,40921.1
Kalimantan Barat,5474.7
Kalimantan Tengah,2700.1
Kalimantan Selatan,4116.9
Kalimantan Timur,3803.5
Kalimantan Utara,710
Sulawesi Utara,2639.5
Gorontalo,1183.5
Sulawesi Tengah,3015
Sulawesi Selatan,9156.9
Sulawesi Barat,1436.7
Sulawesi Tenggara,2659.9
Bali,4343.4
Nusa Tenggara Barat,5387.2
Nusa Tenggara Timur,5394.4
Maluku,1869.5
Maluku Utara,1299.6
Papua Barat,1149.4
Papua,4356.8
Indonesia,272679.2
