Provinsi di Indonesia,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa)
,2018
Aceh,5243.4
Sumatera Utara,14476
Sumatera Barat,5411.8
Riau,6717.6
Kep. Riau,2174.8
Jambi,3527.1
Sumatera Selatan,8391.5
Kep. Bangka Belitung,1432.1
Bengkulu,1948.6
Lampung,8377.7
DKI Jakarta,10428
Jawa Barat,48475.5
Banten,12530.8
Jawa Tengah,34358.5
DI Yogyakarta,3818.3
Jawa Timur,39521.9
Kalimantan Barat,4985.1
Kalimantan Tengah,2612.6
Kalimantan Selatan,4162.4
Kalimantan Timur,3573.8
Kalimantan Utara,682.8
Sulawesi Utara,2474.4
Gorontalo,1166.1
Sulawesi Tengah,3001.9
Sulawesi Selatan,8748.1
Sulawesi Barat,1340.1
Sulawesi Tenggara,2623.6
Bali,4309.2
Nusa Tenggara Barat,5077.7
Nusa Tenggara Timur,5360.3
Maluku,1749.5
Maluku Utara,1218.8
Papua Barat,941.4
Papua,3300.2
Indonesia,264161.6
