Provinsi di Indonesia,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa)
,2021
Aceh,5274.9
Sumatera Utara,14799.4
Sumatera Barat,5534.5
Riau,6394.1
Kep. Riau,2064.6
Jambi,3548.2
Sumatera Selatan,8467.4
Kep. Bangka Belitung,1455.7
Bengkulu,2010.7
Lampung,9007.8
DKI Jakarta,10562.1
Jawa Barat,48274.2
Banten,11904.6
Jawa Tengah,36516
DI Yogyakarta,3668.7
Jawa Timur,40665.7
Kalimantan Barat,5414.4
Kalimantan Tengah,2670
Kalimantan Selatan,4073.6
Kalimantan Timur,3766
Kalimantan Utara,701.8
Sulawesi Utara,2621.9
Gorontalo,1171.7
Sulawesi Tengah,2985.7
Sulawesi Selatan,9073.5
Sulawesi Barat,1419.2
Sulawesi Tenggara,2624.9
Bali,4317.4
Nusa Tenggara Barat,5320.1
Nusa Tenggara Timur,5325.6
Maluku,1848.9
Maluku Utara,1282.9
Papua Barat,1134.1
Papua,4303.7
Indonesia,270203.9
